1160646099406901250,2019-08-11 20:16:08,"b'RT @SuperSt3ven: Heyo! \nThe poll I did said Banshee and Valkyr tied, so I decided to dooble my Banshee from #Warframe ! I love this skin so\xe2\x80\xa6'",Serbia,,
1160645981802827776,2019-08-11 20:15:40,"b'@lukinu_u As the very satisfied owner of every Mithra Tennogen item in game, I feel compelled to ask: may we pretty\xe2\x80\xa6 https://t.co/EozCSbswZZ'",,,
1160645183991500800,2019-08-11 20:12:30,b'RT @StrykirDark: Warframe.... Twitch.... You.... Be there! https://t.co/erP6LQP4yS @presstartcultur #Warframe @SmallStreamersC @StreamerSoc\xe2\x80\xa6',Smallville,,
1160645181944803328,2019-08-11 20:12:29,b'Warframe.... Twitch.... You.... Be there! https://t.co/erP6LQP4yS @presstartcultur #Warframe @SmallStreamersC @StreamerSociety',"Beckley, WV",,
1160644593244876800,2019-08-11 20:10:09,"b""RT @IlVeronesi: Maroo is super happy cause she found a really small ayatan! Finally getting the hang of digital painting, it's pretty diffi\xe2\x80\xa6""",UK,,
1160644538316271617,2019-08-11 20:09:56,"b""Here's a more grungy rendition. The hits keep coming...\nCredit: Freeseus, the HMFIC\n#winterclan #pcgaming\xe2\x80\xa6 https://t.co/05S3Hl61Nd""","Winterland City, Winterland",,
1160644197160050688,2019-08-11 20:08:34,b'RT @Ring_Walker_: Chroma Prime|\xef\xbd\xa5\xcf\x89\xef\xbd\xa5\xef\xbd\x80)\n#warframefanart #warframe #warframeart https://t.co/UfpZOeYggt',nyc,,
1160643852153135104,2019-08-11 20:07:12,b'Must be exotic space foliage. #Warframe #NintendoSwitch https://t.co/U0pxAB6wQY',USA,,
1160643207551705089,2019-08-11 20:04:39,"b""RT @IlVeronesi: Maroo is super happy cause she found a really small ayatan! Finally getting the hang of digital painting, it's pretty diffi\xe2\x80\xa6""",Warframe,,
1160643045332852736,2019-08-11 20:04:00,"b'RT @SuperSt3ven: Heyo! \nThe poll I did said Banshee and Valkyr tied, so I decided to dooble my Banshee from #Warframe ! I love this skin so\xe2\x80\xa6'",Warframe,,
1160642631376003072,2019-08-11 20:02:21,"b""RT @cila_qc: Is this true? I can't figure out where he keeps getting all those arms to launch at you. xD The grineer are bordering on bankr\xe2\x80\xa6""","Hell, Norway",,
1160642249341849600,2019-08-11 20:00:50,b'-\xef\xbe\x8f\xef\xbe\x99\xef\xbe\x81\xef\xbd\xb9\xef\xbe\x9e\xef\xbd\xb0\xef\xbe\x90\xef\xbe\x9d\xef\xbd\xb8\xef\xbe\x9e\xef\xbe\x81\xef\xbd\xb0\xef\xbe\x91DownFall\xe3\x81\xa7\xe3\x81\xaf\xe7\x8f\xbe\xe5\x9c\xa8Warframe\xe3\x81\xab\xe3\x81\xa6\xef\xbe\x92\xef\xbe\x9d\xef\xbe\x8a\xef\xbe\x9e\xef\xbd\xb0\xe3\x82\x92\xe5\x8b\x9f\xe9\x9b\x86\xe4\xb8\xad\xe3\x80\x82\xe6\xb0\x97\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8b\xe6\x96\xb9\xe3\x81\xafHP\xe3\x81\xae\xe5\x8b\x9f\xe9\x9b\x86\xe8\xa6\x81\xe9\xa0\x85\xe7\xa2\xba\xe8\xaa\x8d\xe5\xbe\x8c\xe5\x90\x84\xe6\x8b\x85\xe5\xbd\x93\xe3\x81\xab\xe3\x81\x94\xe9\x80\xa3\xe7\xb5\xa1\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84 https://t.co/HnzDARL4fh #WARFRAME',,,
1160642245059600384,2019-08-11 20:00:49,"b'New #YouTube vid! In this one, @CepholonT &amp; I go head to head against the Grineer in an epic fight for the ages! Wi\xe2\x80\xa6 https://t.co/i0HxPMyVJd'",In his own little world,,
1160642053442637824,2019-08-11 20:00:03,b'RT @Ring_Walker_: Chroma Prime|\xef\xbd\xa5\xcf\x89\xef\xbd\xa5\xef\xbd\x80)\n#warframefanart #warframe #warframeart https://t.co/UfpZOeYggt',Washington,,
1160641883678187521,2019-08-11 19:59:23,b'RT @Ring_Walker_: Chroma Prime|\xef\xbd\xa5\xcf\x89\xef\xbd\xa5\xef\xbd\x80)\n#warframefanart #warframe #warframeart https://t.co/UfpZOeYggt',"Bà Rịa-Vũng Tàu, Việt Nam",,
1160641370459189250,2019-08-11 19:57:21,"b""\xf0\x9f\x93\xa2 I'm \xf0\x9f\x94\xb4 LIVE on #Warframe ! https://t.co/xXRLOlz4Lg #wizebot #twitch""","New Jersey, USA",,
1160640956200366081,2019-08-11 19:55:42,"b'Come help @griddark  decorate his dojo in #Warframe \n , share your love by using your #TwitchPrime  !glyph | !store\xe2\x80\xa6 https://t.co/OBlraWKURQ'",,,
1160640859269935105,2019-08-11 19:55:19,"b'RT @PhantomRogue25: With the Nightwave, I really feel sorry for The Sergeant. @PlayWarframe @rebbford @QuiteShallow #Warframe https://t.co/\xe2\x80\xa6'",United Kingdom,,
1160640816269762560,2019-08-11 19:55:08,"b'The epitome of ""but why tho?"" https://t.co/5mgbPnKLIu #Warframe'",The Abyss,,
